id,Smoker Prediction,Smoker Probability
159256,1,0.55597943
159257,0,0.35635602
159258,0,0.3040734
159259,0,0.007744584
159260,1,0.6238724
159261,1,0.89829165
159262,0,0.36004934
159263,0,0.07637993
159264,0,0.045674447
159265,0,0.02173262
159266,1,0.5492706
159267,0,0.101103894
159268,0,0.0017581225
159269,0,0.09604432
159270,0,0.0011738319
159271,1,0.67179215
159272,1,0.81021535
159273,1,0.78131014
159274,0,0.06423861
159275,0,0.4201662
159276,0,0.3948521
159277,1,0.8695398
159278,1,0.5983801
159279,1,0.6817014
159280,0,0.11171117
159281,1,0.8483994
159282,1,0.78751296
159283,1,0.6671169
159284,1,0.744615
159285,0,0.0007013795
159286,1,0.7253699
159287,0,0.006035499
159288,0,0.17949754
159289,1,0.63797665
159290,1,0.6613151
159291,0,0.36418605
159292,0,0.03256642
159293,0,0.09202822
159294,0,0.20507376
159295,1,0.64667577
159296,1,0.84936345
159297,0,0.0016989496
159298,0,0.11418307
159299,0,9.770357e-05
159300,0,0.007149897
159301,0,0.01608138
159302,0,0.07006203
159303,0,0.2548968
159304,0,0.28745586
159305,1,0.7081911
159306,1,0.72869974
159307,0,0.14219828
159308,0,0.40838182
159309,0,0.10955499
159310,0,0.4737367
159311,1,0.60429424
159312,0,0.30107892
159313,1,0.5091652
159314,1,0.58637905
159315,1,0.70469075
159316,0,0.005945351
159317,1,0.58809054
159318,0,0.4278671
159319,1,0.64576006
159320,1,0.66662234
159321,0,0.050232153
159322,1,0.6669146
159323,1,0.61965287
159324,0,0.14692162
159325,0,0.491623
159326,1,0.5161685
159327,1,0.74167055
159328,1,0.52523774
159329,0,0.49924877
159330,0,0.008438138
159331,1,0.80012405
159332,0,0.0032948845
159333,0,0.00014101992
159334,0,0.25906193
159335,0,0.08210584
159336,0,0.48715132
159337,1,0.7374669
159338,0,0.44017878
159339,1,0.89824975
159340,1,0.6060983
159341,1,0.83561367
159342,1,0.8190748
159343,0,0.43418497
159344,0,0.41443676
159345,0,0.044346347
159346,0,0.4979717
159347,1,0.5905411
159348,1,0.694305
159349,0,0.0023686702
159350,0,0.0071404055
159351,1,0.69515365
159352,0,0.36547962
159353,0,0.40801102
159354,0,0.003642427
159355,1,0.765112
159356,1,0.7602083
159357,1,0.8725139
159358,0,0.32362777
159359,1,0.56895614
159360,0,0.026057933
159361,1,0.8129179
159362,0,0.032321893
159363,1,0.6583453
159364,1,0.8079133
159365,1,0.79391116
159366,0,0.002997643
159367,0,0.463211
159368,0,0.4738992
159369,1,0.6334285
159370,0,0.45565158
159371,1,0.5742393
159372,0,0.12594557
159373,1,0.6660984
159374,1,0.52487105
159375,1,0.86694676
159376,1,0.71877754
159377,0,0.00039214647
159378,1,0.7742517
159379,0,0.27197686
159380,0,0.017996497
159381,0,0.00642718
159382,0,0.45337626
159383,0,0.0033427258
159384,1,0.58270735
159385,0,0.003630228
159386,1,0.6255331
159387,1,0.84689397
159388,1,0.6278415
159389,0,0.00032129837
159390,1,0.6961565
159391,0,0.41222548
159392,1,0.7166548
159393,0,0.0045122597
159394,0,0.28434378
159395,1,0.7649578
159396,1,0.8009363
159397,1,0.6242578
159398,1,0.7824168
